,course_title,students_enrolled_clean,course_rating
1,Machine Learning,3200000.0,4.9
2,The Science of Well-Being,2500000.0,4.9
3,Python for Everybody,1500000.0,4.8
4,Programming for Everybody (Getting Started with Python),1300000.0,4.8
5,Data Science,830000.0,4.5
6,Career Success,790000.0,4.4
7,English for Career Development,760000.0,4.8
8,Successful Negotiation: Essential Strategies and Skills,750000.0,4.8
9,Data Science: Foundations using R,740000.0,4.6
10,Deep Learning,690000.0,4.8
11,Neural Networks and Deep Learning,630000.0,4.9
12,Improve Your English Communication Skills,610000.0,4.7
13,Academic English: Writing,540000.0,4.7
14,Business Foundations,510000.0,4.7
15,Excel to MySQL: Analytic Techniques for Business,490000.0,4.6
16,Applied Data Science with Python,480000.0,4.5
17,IBM Data Science,480000.0,4.6
18,R Programming,480000.0,4.6
19,Financial Markets,470000.0,4.8
20,Project Management & Other Tools for Career Development,440000.0,4.6
