user_id,course_id,rating,course_title,organization,difficulty
0,481,3.966161017778979,Introduction to Corporate Finance,University of Pennsylvania,Mixed
0,372,4.556702994535432,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,Mixed
0,863,4.35436000986464,What is Compliance?,University of Pennsylvania,Mixed
0,555,4.60504364129965,Learn to Program: The Fundamentals,University of Toronto,Beginner
0,205,3.9906140620295005,Data Warehousing for Business Intelligence,University of Colorado System,Advanced
1,767,4.625183468019356,Supply Chain Analytics,Rutgers the State University of New Jersey,Beginner
1,253,4.136469272728415,Electric Industry Operations and Markets,Duke University,Beginner
1,367,4.218888960885477,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,Beginner
1,255,4.011209332644822,Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,Beginner
1,690,4.202273706037843,Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,Beginner
1,736,3.89810476089845,Social and Economic Networks:  Models and Analysis,Stanford University,Advanced
1,295,4.295068328211392,Excel Skills for Business: Intermediate II,Macquarie University,Intermediate
2,324,4.2562734656860775,Forensic Accounting and Fraud Examination,West Virginia University,Mixed
2,108,4.168780702688032,Building Your Leadership Skills,HEC Paris,Mixed
2,517,4.294984717417712,Introduction to Sustainability,University of Illinois at Urbana-Champaign,Mixed
2,803,4.465707776922318,The Horse Course: Introduction to Basic Care and Management,University of Florida,Mixed
2,743,4.469198178778563,Soporte de Tecnologías de la Información de Google,Crece con Google,Beginner
2,651,4.16618161292447,Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,Beginner
2,877,4.58957477160356,Искусство ведения бизнеса,Saint Petersburg State University,Beginner
3,442,4.424327050222865,Inspirational Leadership: Leading with Sense,HEC Paris,Beginner
3,643,4.034305085778361,Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,Beginner
3,741,4.116901458462441,Solar Energy Basics,The State University of New York,Beginner
3,33,3.9982021664187535,Agile Development,University of Virginia,Beginner
3,79,4.389057543558783,Basic Statistics,University of Amsterdam,Beginner
3,206,4.50011957651852,Data and Health Indicators in Public Health Practice,Johns Hopkins University,Beginner
3,599,4.455367595795552,Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,Beginner
3,335,4.675048100066979,From the Big Bang to Dark Energy,The University of Tokyo,Beginner
3,847,3.966587739787086,User Experience Research and Design,University of Michigan,Beginner
4,656,4.870956223587031,Positive Psychology,The University of North Carolina at Chapel Hill,Mixed
4,699,3.760887511806299,Research Data Management and Sharing,The University of Edinburgh,Mixed
4,278,4.039755686067647,Epigenetic Control of Gene Expression,The University of Melbourne,Mixed
4,239,4.324187522481243,Dog Emotion and Cognition,Duke University,Mixed
4,757,4.606294059881592,Strategic Leadership and Management,University of Illinois at Urbana-Champaign,Beginner
5,721,4.169761500939413,Security in Google Cloud Platform,Google Cloud,Intermediate
5,295,4.448739858456689,Excel Skills for Business: Intermediate II,Macquarie University,Intermediate
5,162,4.194987351324894,Convolutional Neural Networks,deeplearning.ai,Intermediate
5,376,4.47007848096929,Getting Started with Go,"University of California, Irvine",Intermediate
5,635,4.224619355827459,Object-Oriented Design,University of Alberta,Intermediate
5,432,4.5022781806134375,Infectious Disease Modelling,Imperial College London,Intermediate
5,522,4.118663966219006,"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,Intermediate
5,749,3.9071871661654067,Stanford Introduction to Food and Health,Stanford University,Beginner
5,612,4.2947458419655815,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,Intermediate
5,72,4.265962160670654,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,Intermediate
